,,Monday,,,,,,Tuesday,,,,,,Wednesday,,,,,
,,9:00,9:30,10:00,10:30,11:00,11:30,9:00,9:30,10:00,10:30,11:00,11:30,9:00,9:30,10:00,10:30,11:00,11:30
*,Alpha,1,1,1,2,2,1,0,0,1,1,2,2,0,0,1,1,2,2
*,Bravo,2,2,2,2,1,1,1,1,1,1,2,0,1,1,1,1,2,0
*,Charlie,1,1,1,2,2,1,1,1,1,0,0,0,1,1,1,0,0,0
,Delta,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2
,Echo,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
,Foxtrot,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1
,Gulf,0,0,0,0,2,2,2,2,2,2,2,1,2,2,2,2,2,1
,Hotel,1,1,2,2,1,2,1,1,1,2,2,2,0,0,0,0,1,1
,India,2,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
,Juliet,1,1,1,1,1,1,0,0,0,0,0,0,2,2,2,2,2,2
